44	5	40	6
55	6	50	7
66	7	60	8
77	8	70	9
88	9	80	10
99	10	90	11
AA	11	A0	12
BB	12	B0	13
CC	13	C0	14
DD	14	D0	15
EE	15	E0	16
101	2	5	10
102	3	11	10
103	4	19	10
104	5	29	10
105	6	41	10
106	7	55	10
107	8	71	10
108	9	89	10
109	10	109	10
10A	11	131	10
10B	12	155	10
10C	13	181	10
10D	14	209	10
10E	15	239	10
10F	16	271	10
1010	2	12	8
1111	2	17	8
10000	2	20	8
11111	2	37	8
100000	2	40	8
111111	2	77	8
1000000	2	100	8
1111111	2	177	8
10000000	2	200	8
11111111	2	377	8
100000000	2	400	8
111111111	2	777	8
1000000000	2	1000	8
1111111111	2	1777	8
12	3	5	9
21	3	7	9
120	3	16	9
210	3	23	9
1200	3	50	9
2100	3	70	9
12000	3	160	9
21000	3	230	9
120000	3	500	9
210000	3	700	9
0	2	0	2
0	3	0	3
0	8	0	8
0	10	0	10
0	16	0	16
1	2	1	2
1	3	1	3
1	8	1	8
1	10	1	10
1	16	1	16
12345	6	1865	10
23456	7	6068	10
34567	8	14711	10
45678	9	30446	10
56789	10	56789	10
6789A	11	98240	10
789AB	12	160403	10
89ABC	13	250106	10
9ABCD	14	375521	10
ABCDE	15	546284	10
BCDEF	16	773615	10
99	10	1100011	2
999	10	1111100111	2
9999	10	10011100001111	2
99999	10	11000011010011111	2
999999	10	11110100001000111111	2
9999999	10	100110001001011001111111	2
99999999	10	101111101011110000011111111	2
999999999	10	111011100110101100100111111111	2
77	8	111111	2
777	8	111111111	2
7777	8	111111111111	2
77777	8	111111111111111	2
777777	8	111111111111111111	2
7777777	8	111111111111111111111	2
FF	16	11111111	2
FFF	16	111111111111	2
FFFF	16	1111111111111111	2
FFFFF	16	11111111111111111111	2
FFFFFF	16	111111111111111111111111	2
FFFFFFF	16	1111111111111111111111111111	2
22	3	8	10
33	4	15	10
44	5	24	10
55	6	35	10
66	7	48	10
77	8	63	10
88	9	80	10
99	10	99	10
AA	11	120	10
BB	12	143	10
CC	13	168	10
DD	14	195	10
EE	15	224	10
FF	16	255	10
1000000000000000	2	8000	16
2000000000000000	3	1B5E4D6	16
1357924680	10	1010000111100000100100101001000	2
ABCDEF	16	101010111100110111101111	2
BCDEFA	16	212021212012220	3
CDEFAB	16	303132332223	4
DEFABC	16	12220110210	5
EFABCD	16	1320353553	6
FABCDE	16	256446504	7
1010101010101010	2	43690	10
2020202020202020	3	32285040	10
1212121212121212	3	26904200	10
1001001001001001	2	37449	10
2002002002002002	3	29801576	10
1221122112211221	3	27980368	10
7FFFFFFF	16	1111111111111111111111111111111	2
11111	2	11111	2
22222	3	22222	3
33333	4	33333	4
44444	5	44444	5
55555	6	55555	6
66666	7	66666	7
77777	8	77777	8
88888	9	88888	9
99999	10	99999	10
AAAAA	11	AAAAA	11
BBBBB	12	BBBBB	12
CCCCC	13	CCCCC	13
DDDDD	14	DDDDD	14
EEEEE	15	EEEEE	15
FFFFF	16	FFFFF	16
12345	10	11000000111001	2
23456	10	1012011202	3
34567	10	20130013	4
45678	10	2430203	5
56789	10	1114525	6
67890	10	401634	7
78901	10	232065	8
89012	10	145082	9
90123	10	61790	11
ABCDE	16	10101011110011011110	2
BCDEF	16	1110022012102	3
CDEF0	16	3031323300	4
DEF01	16	213210103	5
EF012	16	32552122	6
F0123	16	11233566	7
1	2	1	3
1	3	1	2
10	2	2	3
10	3	11	2
100	2	11	3
100	3	1001	2
1000	2	22	3
1000	3	11011	2
10000	2	121	3
10000	3	1010001	2
100000	2	1012	3
100000	3	11110011	2
1000000	2	2101	3
1000000	3	1011011001	2
10000000	2	11202	3
10000000	3	100010001011	2
100000000	2	100111	3
100000000	3	1100110100001	2
1000000000	2	200222	3
1000000000	3	100110011100011	2
